Date,Time,Open,High,Low,Close,Volume,9SMA,21SMA,200SMA
2013-01-02,07:51:00,4447.25,4447.5,4447,4447,100,4446.56328911309,4445.18102090791,4425.52223418058
2013-01-02,07:52:00,4447,4447,4446.25,4446.25,235,4446.50063129047,4445.27820082537,4425.70981577171
2013-01-02,07:53:00,4446.25,4447.5,4446,4447,325,4446.60050503238,4445.43472802306,4425.90248712219
2013-01-02,07:54:00,4447,4447,4446.25,4446.5,162,4446.5804040259,4445.53157093006,4426.08888995367
2013-01-02,07:55:00,4446.25,4446.75,4446,4446.25,288,4446.51432322072,4445.59688266369,4426.27134343825
2013-01-02,07:56:00,4446.5,4447,4446.25,4446.75,307,4446.56145857658,4445.70171151244,4426.45667064695
2013-01-02,07:57:00,4447,4447.25,4446.5,4447,217,4446.64916686126,4445.81973773859,4426.64258312978
2013-01-02,07:58:00,4446.75,4447.25,4446.25,4446.5,369,4446.61933348901,4445.88157976235,4426.82228825983
2013-01-02,07:59:00,4446.75,4447,4446.5,4446.5,201,4446.59546679121,4445.93779978395,4427.00036709911
2013-01-02,08:00:00,4446.5,4447,4446.25,4446.25,231,4446.52637343297,4445.96618162178,4427.17457192174
2013-01-02,08:01:00,4446.25,4446.25,4445.5,4446,163,4446.42109874637,4445.9692560198,4427.3449377867
2013-01-02,08:02:00,4446.25,4446.25,4445.75,4446.25,102,4446.3868789971,4445.99477819982,4427.51602432257
2013-01-02,08:03:00,4446.25,4446.5,4445.75,4445.75,185,4446.25950319768,4445.9725256362,4427.68103767712
2013-01-02,08:04:00,4445.75,4445.75,4444.75,4445.25,178,4446.05760255814,4445.90684148745,4427.84003281126
2013-01-02,08:05:00,4445,4446,4445,4445,424,4445.84608204652,4445.82440135223,4427.99532663198
2013-01-02,08:06:00,4445.25,4445.5,4444.5,4445,231,4445.67686563721,4445.74945577475,4428.14921507874
2013-01-02,08:07:00,4445,4445.75,4445,4445.75,260,4445.69149250977,4445.74950524977,4428.3084982002
2013-01-02,08:08:00,4445.5,4445.75,4445.25,4445.5,176,4445.65319400782,4445.72682295434,4428.46407740201
2013-01-02,08:09:00,4445.75,4446.5,4445.25,4445.5,221,4445.62255520625,4445.70620268576,4428.61824864724
2013-01-02,08:10:00,4445.75,4445.75,4445,4445.5,244,4445.598044165,4445.68745698706,4428.77102467759
2013-01-02,08:11:00,4445.5,4446.25,4445.5,4446.25,172,4445.728435332,4445.73859726096,4428.92920544974
2013-01-02,08:12:00,4446.25,4446.5,4445.5,4446,199,4445.7827482656,4445.76236114633,4429.08369227824
